group,latency_p50_ms,latency_p95_ms,latency_p99_ms,mean_recall_at_10,mean_valid_rate,mean_subset_estimate_error,mean_active_records,mean_tombstoned_records,max_rebuild_count,max_cell_rebuild_count,max_maintenance_rebuild_count,max_maintenance_cell_rebuild_count,max_compaction_count,max_deleted_record_count,max_expired_record_count,planner_mode_counts
static_n10000_d64:exact,0.7810499519109726,0.9135299740592018,0.9892469982150939,1.0,1.0,0.0885095104050708,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n10000_d64:global_filter,6.73615001142025,7.0724349934607735,8.683781010331566,0.2729861111111111,1.0,0.0885095104050708,10000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n10000_d64:partition_ann,0.24080000002868474,0.5186999915167689,0.5825580091914156,1.0,1.0,0.0885095104050708,10000.0,0.0,0.0,3911.0,0.0,0.0,0.0,0.0,0.0,
static_n10000_d64:hybrid,0.7170999888330698,0.8316049876157194,0.8790909871459005,1.0,1.0,0.0885095104050708,10000.0,0.0,1.0,3911.0,0.0,0.0,0.0,0.0,0.0,exact:138;partition_ann:102
static_n10000_d128:exact,0.7812000112608075,0.8947600028477608,0.9200119849992914,1.0,1.0,0.07206328653598916,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n10000_d128:global_filter,10.437749995617196,11.018660018453375,12.71418599411844,0.2871445105820106,1.0,0.07206328653598916,10000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
static_n10000_d128:partition_ann,0.39129998185671866,0.7332449924433604,0.8455730072455471,1.0,1.0,0.07206328653598916,10000.0,0.0,0.0,3888.0,0.0,0.0,0.0,0.0,0.0,
static_n10000_d128:hybrid,0.5603500176221132,0.9078149829292668,1.142102982266805,1.0,1.0,0.07206328653598916,10000.0,0.0,1.0,3888.0,0.0,0.0,0.0,0.0,0.0,exact:117;partition_ann:123
short_lifetime_expire_n10000_d64:exact,0.5489499890245497,0.7632949913386256,0.8111720293527468,1.0,1.0,0.034014831787573495,5272.666666666667,4727.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4822.0,
short_lifetime_expire_n10000_d64:global_filter,3.6006500013172626,3.9351199753582473,4.810892011155373,0.6770419973544973,1.0,0.034014831787573495,5272.666666666667,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4822.0,
short_lifetime_expire_n10000_d64:partition_ann,0.14689998351968825,0.5458750238176435,0.5822090321453287,1.0,1.0,0.034014831787573495,5272.666666666667,4.0,0.0,5739.0,0.0,1851.0,1851.0,0.0,4822.0,
short_lifetime_expire_n10000_d64:hybrid,0.6112499977461994,0.7382700336165725,0.8250699774362135,1.0,1.0,0.034014831787573495,5272.666666666667,4.0,2.0,5739.0,1.0,1851.0,1852.0,0.0,4822.0,exact:178;partition_ann:62
short_lifetime_expire_n10000_d128:exact,0.5511000053957105,0.7909100269898772,0.8205289841862393,1.0,1.0,0.03868215799339057,5265.333333333333,4734.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4813.0,
short_lifetime_expire_n10000_d128:global_filter,5.421150010079145,5.74900500359945,7.221396007807924,0.6837020502645502,1.0,0.03868215799339057,5265.333333333333,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4813.0,
short_lifetime_expire_n10000_d128:partition_ann,0.1821500190999359,0.7397199864499271,0.8097130182432011,1.0,1.0,0.03868215799339057,5265.333333333333,3.6666666666666665,0.0,5763.0,0.0,1870.0,1870.0,0.0,4813.0,
short_lifetime_expire_n10000_d128:hybrid,0.7374999986495823,0.8120899554342031,1.0392940096789927,1.0,1.0,0.03868215799339057,5265.333333333333,3.6666666666666665,2.0,5763.0,1.0,1870.0,1871.0,0.0,4813.0,exact:163;partition_ann:77
long_lifetime_expire_n10000_d64:exact,1.1791999859269708,2.7647100359899923,3.0908189836191013,1.0,1.0,0.03894090497839797,9788.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,
long_lifetime_expire_n10000_d64:global_filter,6.610850017750636,7.067945032031275,7.395133986137805,0.686875,1.0,0.03894090497839797,9788.0,212.0,1.0,0.0,0.0,0.0,0.0,0.0,226.0,
long_lifetime_expire_n10000_d64:partition_ann,0.5855000345036387,3.3552999928360805,3.578361016116105,1.0,1.0,0.03894090497839797,9788.0,31.333333333333332,0.0,4029.0,0.0,147.0,147.0,0.0,226.0,
long_lifetime_expire_n10000_d64:hybrid,1.8791999609675258,6.738440025947057,7.0002519950503475,0.9491666666666667,1.0,0.03894090497839797,9788.0,31.333333333333332,1.0,4029.0,0.0,147.0,147.0,0.0,226.0,exact:43;global_filter:120;partition_ann:77
long_lifetime_expire_n10000_d128:exact,1.184849999845028,2.833979978458956,3.4181180194718737,1.0,1.0,0.039222859672719906,9795.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,
long_lifetime_expire_n10000_d128:global_filter,8.883600035915151,10.752979971584864,11.146805008756925,0.7192493386243386,1.0,0.039222859672719906,9795.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,214.0,
long_lifetime_expire_n10000_d128:partition_ann,1.1691499967128038,4.153299960307777,4.832754991366524,1.0,1.0,0.039222859672719906,9795.0,25.666666666666668,0.0,4050.0,0.0,149.0,149.0,0.0,214.0,
long_lifetime_expire_n10000_d128:hybrid,6.14430001587607,10.580310004297644,11.18099198909476,0.9287500000000001,1.0,0.039222859672719906,9795.0,25.666666666666668,1.0,4050.0,0.0,149.0,149.0,0.0,214.0,exact:38;global_filter:140;partition_ann:62
open_ended_heavy_n10000_d64:exact,1.0715499811340123,2.774149988545105,3.2176589925074945,1.0,1.0,0.04128886987104586,9390.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,
open_ended_heavy_n10000_d64:global_filter,6.621899985475466,7.027205015765503,7.183678007568233,0.6725744047619048,1.0,0.04128886987104586,9390.0,610.0,1.0,0.0,0.0,0.0,0.0,0.0,637.0,
open_ended_heavy_n10000_d64:partition_ann,0.5296000163070858,3.2810950040584426,3.8605149992508787,1.0,1.0,0.04128886987104586,9390.0,59.666666666666664,0.0,4310.0,0.0,437.0,437.0,0.0,637.0,
open_ended_heavy_n10000_d64:hybrid,0.8882000111043453,5.648710037348788,6.912593974848276,0.985,1.0,0.04128886987104586,9390.0,59.666666666666664,1.0,4310.0,0.0,437.0,437.0,0.0,637.0,exact:45;global_filter:93;partition_ann:102
open_ended_heavy_n10000_d128:exact,1.1119000264443457,2.853855016292073,3.29851200338453,1.0,1.0,0.036777320780604986,9398.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,
open_ended_heavy_n10000_d128:global_filter,10.170499997911975,10.845470015192403,14.265057987067838,0.7105555555555555,1.0,0.036777320780604986,9398.0,602.0,1.0,0.0,0.0,0.0,0.0,0.0,626.0,
open_ended_heavy_n10000_d128:partition_ann,1.0350999946240336,4.157804980059153,4.646501007373443,1.0,1.0,0.036777320780604986,9398.0,66.66666666666667,0.0,4324.0,0.0,421.0,421.0,0.0,626.0,
open_ended_heavy_n10000_d128:hybrid,0.9972500265575945,10.229194996645674,10.710400019306688,0.9683333333333334,1.0,0.036777320780604986,9398.0,66.66666666666667,1.0,4324.0,0.0,421.0,421.0,0.0,626.0,exact:36;global_filter:98;partition_ann:106
append_delete_n10000_d64:exact,0.8873000042513013,1.0207050218014044,1.083921988029033,1.0,1.0,0.08952540166933481,11000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,
append_delete_n10000_d64:global_filter,7.856299984268844,8.276019978802651,8.84903796541038,0.26859623015873013,1.0,0.08952540166933481,11000.0,1000.0,2001.0,0.0,0.0,0.0,0.0,1000.0,0.0,
append_delete_n10000_d64:partition_ann,0.36509998608380556,0.7674399646930395,0.9199859848013148,1.0,1.0,0.08952540166933481,11000.0,256.0,0.0,6606.0,0.0,695.0,695.0,1000.0,0.0,
append_delete_n10000_d64:hybrid,0.9510499949101359,1.1039899691240862,1.2562239979160932,1.0,1.0,0.08952540166933481,11000.0,256.0,2001.0,6606.0,0.0,695.0,695.0,1000.0,0.0,exact:133;partition_ann:107
append_delete_n10000_d128:exact,0.8902499685063958,1.0168500011786819,1.0535449895542115,1.0,1.0,0.07938408926293687,11000.0,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,
append_delete_n10000_d128:global_filter,12.479349999921396,13.178479985799637,19.414290984277592,0.2773611111111111,1.0,0.07938408926293687,11000.0,1000.0,2001.0,0.0,0.0,0.0,0.0,1000.0,0.0,
append_delete_n10000_d128:partition_ann,0.4378499579615891,0.8145200234139335,1.035378988599402,1.0,1.0,0.07938408926293687,11000.0,261.0,0.0,6578.0,0.0,691.0,691.0,1000.0,0.0,
append_delete_n10000_d128:hybrid,0.5175500409677625,1.0605399846099317,1.3331360323354553,1.0,1.0,0.07938408926293687,11000.0,261.0,2001.0,6578.0,0.0,691.0,691.0,1000.0,0.0,exact:111;partition_ann:129
